experiment_id,variable,value,miou_standard,miou_tta,damaged_iou_tta,destroyed_iou_tta
D1b_RandomCrop512,resolution,512,0.4452,0.4540,0.2750,0.1222
D1c_RandomCrop768,resolution,768,0.4757,0.4902,0.3192,0.1953
